Ticker,SMP500,Days Held
0.30013524234282224,0.05927873768081403,61.0
-0.14369100725724773,0.008268556610302931,48.0
0.3156607325054436,0.09299342676690793,22.0
-0.1045801615454569,0.0961889727424793,96.0
0.30323301834366684,0.08014357037622775,90.0
0.3132626336238291,0.47343194066118705,413.0
0.3149339878699523,0.15734255756167598,114.0
-0.10628622570258053,0.017726872176947978,50.0
0.30829257135002613,0.2283128667681286,254.0
0.30967736072848595,0.49914237889353824,434.0
0.3031093071536962,0.038824472695651216,13.0
-0.1030020231183504,0.024627806101977207,46.0
-0.11698542165651614,0.009793102858288,47.0
0.3025368767054181,0.08750467722234058,94.0
-0.10681057194921696,0.03818113716211079,39.0
0.32103612449507285,0.041585829432003736,8.0
-0.11330050429287634,0.024627806101977207,46.0
-0.12034929415479464,0.024627806101977207,46.0
0.3030689222427684,0.12284861338752069,109.0
0.3080115668097633,0.08014357037622775,90.0
0.31092600870485826,0.24125950758560713,245.0
-0.10096902447662297,0.07680680596261018,26.0
-0.10191118953429823,0.11350265968839883,191.0
-0.10374258559252558,0.06962873404501382,32.0
-0.12191572757798624,0.06666863725547967,33.0
-0.1042293179237937,0.0647178181725785,78.0
-0.10085912171007619,0.04529128122343176,34.0
-0.1021457288673987,0.024627806101977207,46.0
0.3006211477016216,0.23414674600350863,240.0
-0.10724248230892981,0.03818113716211079,39.0
-0.16666663562258016,0.09971138960539087,101.0
-0.1033736476309388,0.024188445663173467,52.0
-0.10197851323543604,0.08014357037622775,90.0
0.30698531388274014,0.09030529677035602,81.0
0.35608525921591755,0.04364645670362074,35.0
0.322086907650834,0.07715985205772566,21.0
0.0,0.0,0.0
-0.11435087303794318,0.08554600557710683,100.0
0.3262370254460816,0.08554600557710683,100.0
-0.10610751059083938,0.038152408275528155,37.0
-0.10333040368065616,0.017726872176947978,50.0
-0.1368559174276453,0.06666863725547967,33.0
-0.10382632134192042,0.024188445663173467,52.0
-0.12114728283075211,0.06962088148268124,65.0
0.31230184403408473,0.4683955753173409,383.0
0.3241525209693178,0.08887229990761429,25.0
0.3307254006883017,0.17561080964578113,219.0
0.0,0.0,1.0
0.3333333002196431,0.06062803772064503,78.0
-0.10393698800703186,0.024188445663173467,52.0
-0.112354600139779,0.07612178162253984,99.0
0.3076923076923077,0.01953647282180295,12.0
-0.1067047568261529,0.017726872176947978,50.0
0.30002851085988796,0.3257254985531175,290.0
-0.10142497964748745,0.07472530236674313,93.0
0.31110700928394347,0.36622097097635503,305.0
0.3063794602641043,0.0815843559593319,30.0
-0.10107654805964476,0.29523763800798497,280.0
-0.10931577895961683,0.041342655367574296,38.0
0.0,0.0,0.0
-0.10281841652889864,0.11350265968839883,191.0
-0.1333808657761736,0.024188445663173467,52.0
-0.10456130037731722,0.3772901471346734,353.0
-0.11961018399431582,0.1682914554481684,151.0
-0.10015409284037295,0.009793102858288,47.0
0.3058204204046714,0.3657136826812759,341.0
-0.10464610401898967,0.13740866847547992,196.0
0.30318291882814136,0.3144419410589225,278.0
0.3124999875823662,-0.004194353599094261,3.0
-0.11557094698156765,0.008268556610302931,48.0
-0.10638581735733214,0.04242266997717075,44.0
0.3922730657625434,0.1765730358203888,150.0
0.3175996071658039,0.15307753090158843,129.0
0.30947125603011866,0.15307753090158843,129.0
0.3014126072136011,0.38805849992948654,347.0
-0.10828839630696377,0.058648489751161235,43.0
0.4261745589668179,0.041342655367574296,38.0
-0.11111107431811953,0.024188445663173467,52.0
-0.14929575012158988,0.14455807534846385,195.0
-0.12095894808028101,0.041109951386254964,41.0
-0.11333909235954251,0.17590627028379097,169.0
0.31637509985527607,0.16000195867164524,161.0
-0.11983469120263056,0.029504694204304648,55.0
0.32211247518305264,0.14368982455396648,198.0
-0.10225930275077508,0.07680680596261018,26.0
0.0,0.0,0.0
0.31326117713739354,0.09299342676690793,22.0
-0.10279324006388652,0.04529128122343176,34.0
0.31013600868320856,0.42034555487833414,365.0
0.0,0.0,0.0
-0.1443982886953268,0.04529128122343176,34.0
-0.10024884152467853,0.024188445663173467,52.0
-0.10679093171471082,0.09971138960539087,101.0
-0.11765318004235205,0.008268556610302931,48.0
-0.17323051326393757,-0.04911995996900626,12.0
0.0,0.0,0.0
-0.1096849024336612,0.01776875250938844,5.0
-0.12491444028742853,0.16395850093180547,171.0
0.3027782187857806,0.47303446055482373,428.0
0.23196675003332118,0.6379369926997346,635.0
0.3022826106992251,0.5678139941215591,467.0
0.3235714167620045,0.03803998256603478,7.0
-0.10545578479932737,0.16048575312169677,155.0
0.0,0.0,1.0
0.0,0.0,0.0
-0.10291478983382833,0.09301181325432081,103.0
0.3459702675575199,0.09971138960539087,101.0
-0.10388031178278959,0.04242266997717075,44.0
-0.10049238947502685,0.07667873897042182,207.0
0.3117580226886435,0.15734255756167598,114.0
-0.14338245374605735,0.017726872176947978,50.0
-0.11224491644947254,0.06666863725547967,33.0
0.5445293114840153,0.04362551653740051,10.0
-0.10046175373086597,0.11868292483303888,201.0
-0.1124999939262865,0.06962873404501382,32.0
-0.11541395279988073,0.01953647282180295,12.0
0.3056470550950908,0.365384130431188,342.0
0.3027975520866063,0.061789067790404516,17.0
-0.10760020958392558,0.008268556610302931,48.0
-0.10214390322988572,0.07472530236674313,93.0
0.352655653276386,0.09299342676690793,22.0
-0.1612102992802041,0.04364645670362074,35.0
0.30339914752890546,0.23414674600350863,240.0
79.00000582076623,0.1667721442417384,174.0
-0.10783069706888421,0.4370604041439312,424.0
0.3134598340279276,0.05116710463322245,14.0
0.0,0.0,0.0
